teamname,location,latitude,longitude
Team Bifrost,Koper Slovenia,45.5405823,13.7076453
We Are VR+,Islamabad Pakistan,33.6160373,72.9460247
Whats Up,Hull United Kingdom,53.7663503,-0.4020249
Shoe Kicking,Osaka Japan,34.6610889,135.1391876
MoonMen,Guatemala City Guatemala,14.6262096,-90.5626005
Code for Earth,Taipei Taiwan,25.0171608,121.366294
3DNasa,Zaragoza Spain,41.6516859,-0.9300002
SATrek,Buenos Aires Argentina,-34.6158037,-58.5033382
HALA,Ivanovo Russia,57.0018689,40.9120664
NRIAG-Space,Cairo Egypt,30.0595581,31.223445
SatComTeam,Linkoping Sweden,58.4038594,15.5407345
Smart Nature,Madinah Saudi Arabia,24.4713203,39.4774743
Spheriview,Houston TX,29.817402,-95.5413744
Spirit and Opportunity,Brisbane QLD Australia,-27.3812534,152.7130185
Freeways,La Marsa Tunisia,36.8942144,10.2937623
GAIA,Lowe Mill in Huntsville AL,34.7151494,-86.5992317
Ihor Parkhomenko,Kropyvnytskyi Kirovohrads'ka oblast Ukraine,48.518858,32.1456237
BASE 2 - Plancks to the Universe,Silicon Valley (Palo Alto) CA,37.425713,-122.1703693
CCIT-crazy top,Taipei Taiwan,25.0174719,121.3662948
Eliftech,Limassol Cyprus,34.6918064,32.9930904
Flare VR,Berkeley CA,37.870838,-122.3359993
Team Rocket,Vicenza Province of Vicenza Italy,45.5502767,11.5158951
Tsukuru Lab X,Tokyo Japan,35.6735408,139.5703055
WoG ,Kropyvnytskyi Kirovohrads'ka oblast Ukraine,48.518858,32.1456237
WRUS Raptors,Laurel MD,39.0954404,-76.8774971
X-Arm,Yerevan Armenia,40.1535005,44.4185276
zpadarozhnik ,Minsk Belarus,53.8840092,27.5796482
